# What has been swept, and when. One line per package or
# partial sweep, replaced each time it runs.
#
# read.tsv says why a survivor was left. This says what was looked at,
# which read.tsv cannot: a clean package leaves nothing in it.
#
# The last column is the one to read: survivors nobody has explained.
# Survived counts the error branches and the bounds that hold a value
# to itself as well, and on anything that lays out a screen or talks to
# Herdr for a living those are most of the list -- a package can survive
# seventeen and have nothing whatever to answer for.
#
# package	swept	mutations	caught	survived	unexplained
./internal/cli	2026-08-27	54	50	4	0
./internal/config	2026-08-27	135	133	2	0
./internal/herdrcli	2026-08-27	57	57	0	0
./internal/logfile	2026-08-27	8	8	0	0
./internal/mirror	2026-08-27	102	96	6	0
./internal/mirror (mousegate.go)	2026-08-27	31	25	6	0
./internal/picker	2026-08-27	114	97	17	0
./internal/project	2026-08-27	3	3	0	0
./internal/remote	2026-08-27	51	50	1	0
./internal/sshconfig	2026-08-27	33	32	1	0
./internal/syncd (daemon.go)	2026-08-27	6	5	1	0
./internal/text	2026-08-27	54	49	5	0
./internal/version	2026-08-27	9	7	2	0
